type,id,siteId,name,description,ipAddress,url,username,notes,status
EQUIPMENT,eq-nmp-stu-216,site-boi-nampa,NMP - Transmitter - KKOO FAX 1K,KKOO FAX 1K,10.18.60.216,,,,active
EQUIPMENT,eq-nmp-stu-217,site-boi-nampa,NMP - Transmitter - BW TX-50,BW TX-50,10.18.60.217,,,,active
EQUIPMENT,eq-nmp-stu-218,site-boi-nampa,NMP - Exciter - KQBL FAX-50 EXCITER,KQBL FAX-50 EXCITER,10.18.60.218,,,,active
EQUIPMENT,eq-nmp-stu-219,site-boi-nampa,NMP - Other - ESPN RBDS,ESPN RBDS,10.18.60.219,,,,active
EQUIPMENT,eq-nmp-stu-220,site-boi-nampa,NMP - Other - K224EP RBDS,K224EP RBDS,10.18.60.220,,,,active
EQUIPMENT,eq-nmp-stu-221,site-boi-nampa,NMP - Audio Processor - KSRV-FM OMNIA 9,KSRV-FM OMNIA 9,10.18.60.221,,,,active
EQUIPMENT,eq-nmp-stu-222,site-boi-nampa,NMP - Audio Processor - KZMG OMNIA 6,KZMG OMNIA 6,10.18.60.222,,,,active
EQUIPMENT,eq-nmp-stu-223,site-boi-nampa,NMP - Audio Processor - KQBLHD-3 OMNIA 6,KQBLHD-3 OMNIA 6,10.18.60.223,,,,active
EQUIPMENT,eq-nmp-stu-224,site-boi-nampa,NMP - Audio Processor - KQBLHD-2 OMNIA 6,KQBLHD-2 OMNIA 6,10.18.60.224,,,,active
EQUIPMENT,eq-nmp-stu-225,site-boi-nampa,NMP - Audio Processor - KKOO FM OMNIA 6,KKOO FM OMNIA 6,10.18.60.225,,,,active
EQUIPMENT,eq-nmp-stu-226,site-boi-nampa,NMP - Audio Processor - KZMG OMNIA 9,KZMG OMNIA 9,10.18.60.226,,,,active
EQUIPMENT,eq-nmp-stu-228,site-boi-nampa,NMP - Audio Processor - 99.1 5700i,99.1 5700i,10.18.60.228,,,,active
EQUIPMENT,eq-nmp-stu-230,site-boi-nampa,NMP - STL - IP LINK 1 studio 96.1/101.5,IP LINK 1 studio 96.1/101.5,10.18.60.230,,,,active
EQUIPMENT,eq-nmp-stu-231,site-boi-nampa,NMP - STL - IP LINK 2 studio 101.9/99.1,IP LINK 2 studio 101.9/99.1,10.18.60.231,,,,active
EQUIPMENT,eq-nmp-stu-232,site-boi-nampa,NMP - STL - IP LINK 3 studio 96.5/102.7,IP LINK 3 studio 96.5/102.7,10.18.60.232,,,,active
EQUIPMENT,eq-nmp-stu-233,site-boi-nampa,NMP - STL - IP LINK 4 deer 96.1/101.5,IP LINK 4 deer 96.1/101.5,10.18.60.233,,,,active
EQUIPMENT,eq-nmp-stu-234,site-boi-nampa,NMP - STL - IP LINK 5 deer 101.9/99.1,IP LINK 5 deer 101.9/99.1,10.18.60.234,,,,active
EQUIPMENT,eq-nmp-stu-235,site-boi-nampa,NMP - STL - IP LINK 6 deer 96.5/102.7,IP LINK 6 deer 96.5/102.7,10.18.60.235,,,,active
EQUIPMENT,eq-nmp-stu-236,site-boi-nampa,NMP - STL - IP LINK 7 studio 99.9,IP LINK 7 studio 99.9,10.18.60.236,,,,active
EQUIPMENT,eq-nmp-stu-237,site-boi-nampa,NMP - STL - IP LINK 8 deer 99.9,IP LINK 8 deer 99.9,10.18.60.237,,,,active
EQUIPMENT,eq-nmp-stu-238,site-boi-nampa,NMP - UPS - UPS Monitor,UPS Monitor,10.18.60.238,,,,active
EQUIPMENT,eq-nmp-stu-239,site-boi-nampa,NMP - Other - KQBL RBDS,KQBL RBDS,10.18.60.239,,,,active
EQUIPMENT,eq-nmp-stu-240,site-boi-nampa,NMP - Computer - KQBL IMPORTER,KQBL IMPORTER,10.18.60.240,,,,active
EQUIPMENT,eq-nmp-stu-241,site-boi-nampa,NMP - Computer - KQBL EXPORTER,KQBL EXPORTER,10.18.60.241,,,,active
EQUIPMENT,eq-nmp-stu-242,site-boi-nampa,NMP - Other - K243BM RBDS,K243BM RBDS,10.18.60.242,,,,active
EQUIPMENT,eq-nmp-stu-243,site-boi-nampa,NMP - Other - DAY SEQUERRA M4.2Si (DEER PT),DAY SEQUERRA M4.2Si (DEER PT),10.18.60.243,,,,active
EQUIPMENT,eq-nmp-stu-244,site-boi-nampa,NMP - Audio Processor - KQBL JUSTIN 808,KQBL JUSTIN 808,10.18.60.244,,,,active
EQUIPMENT,eq-nmp-stu-245,site-boi-nampa,NMP - Other - KQBL BURK PLUS CONNECT,KQBL BURK PLUS CONNECT,10.18.60.245,,,,active
EQUIPMENT,eq-nmp-stu-246,site-boi-nampa,NMP - Other - DEER PT DUAL IP-8 ADAPTER 1,DEER PT DUAL IP-8 ADAPTER 1,10.18.60.246,,,,active
EQUIPMENT,eq-nmp-stu-247,site-boi-nampa,NMP - Other - DEER PT DUAL IP-8 ADAPTER 2,DEER PT DUAL IP-8 ADAPTER 2,10.18.60.247,,,,active
EQUIPMENT,eq-nmp-stu-248,site-boi-nampa,NMP - Other - ARC PLUS SL (AT STUDIO),ARC PLUS SL (AT STUDIO),10.18.60.248,,,,active
EQUIPMENT,eq-nmp-stu-249,site-boi-nampa,NMP - Network - Deer Point WiFi,Deer Point WiFi,10.18.60.249,,,,active
EQUIPMENT,eq-mid-148,site-boi-middleton,MID - Audio Processor - OMNIA,OMNIA,10.82.60.148,http://69.9.63.150:45002,,"Internal Port: 7300, External Port: 45002",active
EQUIPMENT,eq-mid-170,site-boi-middleton,MID - Other - RDS,RDS,10.82.60.170,http://69.9.63.150:45003,,"Internal Port: 10002, External Port: 45003",active
EQUIPMENT,eq-mid-246,site-boi-middleton,MID - Other - BURK,BURK,10.82.60.246,http://69.9.63.150:45000,,"Internal Port: 45000, External Port: 45000",active
EQUIPMENT,eq-mid-180,site-boi-middleton,MID - Cameras - CAM,CAM,10.82.60.180,http://69.9.63.150:45004,ubnt,"Password: 7777, Internal Port: 80, External Port: 45004",active
EQUIPMENT,eq-mid-160,site-boi-middleton,MID - Transmitter - 106.3 TRANS,106.3 TRANS,10.82.60.160,,,"Internal Port: 1063, External Port: 1063",active
EQUIPMENT,eq-mid-30,site-boi-middleton,MID - Network - ROUTER,ROUTER,10.82.60.30,,engineering,Password: Frenchjohn101,active
EQUIPMENT,eq-mid-250,site-boi-middleton,MID - Computer - COMPUTER,COMPUTER,10.82.60.250,,,,active
EQUIPMENT,eq-dp-196,site-boi-deerpoint,DP - STL - zip one-3,zip one-3,10.81.60.196,http://204.98.102.137:45000,admin,"Password: (none), External Port: 45000",active
EQUIPMENT,eq-dp-197,site-boi-deerpoint,DP - STL - zip one-4,zip one-4,10.81.60.197,http://204.98.102.137:45001,admin,"Password: (none), External Port: 45001",active
EQUIPMENT,eq-dp-198,site-boi-deerpoint,DP - STL - zip one-6,zip one-6,10.81.60.198,http://204.98.102.137:45002,admin,"Password: (none), External Port: 45002",active
EQUIPMENT,eq-dp-30,site-boi-deerpoint,DP - Network - ROUTER,ROUTER,10.81.60.30,,engineering,"Password: (mustard), Internal/External Ports: 80,443",active
EQUIPMENT,eq-dp-200,site-boi-deerpoint,DP - Computer - PC,PC,10.81.60.200,,,,active
EQUIPMENT,eq-clay-30,site-boi-claypeak,CLAY - Network - Edge Router,Edge Router,10.82.60.30,,engineering,Password: (mustard),active
EQUIPMENT,eq-clay-220,site-boi-claypeak,CLAY - Transmitter - Nautel,Nautel,10.82.60.220,http://204.98.102.155:45003,Nautel,"Password: (mustard), External Port: 45003",active
EQUIPMENT,eq-clay-221,site-boi-claypeak,CLAY - Audio Processor - Aaron 650,Aaron 650,10.82.60.221,http://204.98.102.155:45004,admin,"Password: 7777, External Port: 45004",active
EQUIPMENT,eq-clay-250,site-boi-claypeak,CLAY - Other - Burk X-300,Burk X-300,10.82.60.250,http://204.98.102.155:45000,admin,"Password: (mustard), Internal Port: 80, 45002, External Port: 45000, 45002",active
EQUIPMENT,eq-jerb-30,site-tf-jerome,JERB - Network - Edge Router,Edge Router,10.91.60.30,,engineering,Password: (tower),active
EQUIPMENT,eq-jerb-160,site-tf-jerome,JERB - Other - 1021 RDS,1021 RDS,10.91.60.160,http://76.8.3.26:45001,,"Internal Port: 10001, External Port: 45001",active
EQUIPMENT,eq-jerb-161,site-tf-jerome,JERB - Other - 927 RDS,927 RDS,10.91.60.161,http://76.8.3.26:45002,admin,"Password: 7777, Internal Port: 10002, External Port: 45002",active
EQUIPMENT,eq-jerb-200,site-tf-jerome,JERB - Computer - PC,PC,10.91.60.200,http://76.8.3.26:45004,,"Password: (tower), Internal Port: 5900, External Port: 45004",active
EQUIPMENT,eq-jerb-220,site-tf-jerome,JERB - Audio Processor - 1021 Omnia,1021 Omnia,10.91.60.220,telnet://76.8.3.26:45005,,"Internal Port: 23, External Port: 45005",active
EQUIPMENT,eq-jerb-221,site-tf-jerome,JERB - Audio Processor - 927 Omnia,927 Omnia,10.91.60.221,telnet://76.8.3.26:45006,,"Internal Port: 23, External Port: 45006",active
EQUIPMENT,eq-jerb-231,site-tf-jerome,JERB - STL - HD Link,HD Link,10.91.60.231,http://76.8.3.26:45007,,External Port: 45007,active
EQUIPMENT,eq-jerb-240,site-tf-jerome,JERB - Transmitter - Nautel HD TX,Nautel HD TX,10.91.60.240,http://76.8.3.26:45008,Nautel,"Password: clay, External Port: 45008",active
EQUIPMENT,eq-jerb-241,site-tf-jerome,JERB - Other - Exporter,Exporter,10.91.60.241,http://76.8.3.26:2323,,"Internal Port: 2323, External Port: 2323",active
EQUIPMENT,eq-jerb-250,site-tf-jerome,JERB - Other - remote,remote,10.91.60.250,http://76.8.3.26:45003,admin,"Password: (tower), External Port: 45003",active
EQUIPMENT,eq-pic-30,site-tf-picabo,PIC - Network - Edge Router,Edge Router,10.92.60.30,,engineering,Password: clay,active
EQUIPMENT,eq-pic-200,site-tf-picabo,PIC - Computer - PC,PC,10.92.60.200,http://76.8.7.78:45005,,"Password: (tower), Internal Port: 5900, External Port: 45005",active
EQUIPMENT,eq-pic-221,site-tf-picabo,PIC - Audio Processor - 1047 BW Proc,1047 BW Proc,10.92.60.221,http://76.8.7.78:45004,,"Internal Port: 1270, External Port: 45004",active
EQUIPMENT,eq-pic-251,site-tf-picabo,PIC - Other - Remote,Remote,10.92.60.251,http://76.8.7.78:45007,engineering,"Password: clay, External Port: 45007",active
EQUIPMENT,eq-pic-100,site-tf-picabo,PIC - Cameras - camera,camera,10.92.60.100,,engineering,Password: clay,active
EQUIPMENT,eq-pic-160,site-tf-picabo,PIC - Other - kikx rds,kikx rds,10.92.60.160,http://76.8.7.78:45003,,External Port: 45003,active
EQUIPMENT,eq-pic-2,site-tf-picabo,PIC - Network - wifi,wifi,10.92.60.2,,,,active
EQUIPMENT,eq-pic-210,site-tf-picabo,PIC - Exciter - kxcd exciter,kxcd exciter,10.92.60.210,http://76.8.7.78:45009,gates,"Password: administrator, External Port: 45009",active
EQUIPMENT,eq-pic-211,site-tf-picabo,PIC - Transmitter - kxcd tx,kxcd tx,10.92.60.211,http://76.8.7.78:45010,gates,"Password: administrator, External Port: 45010",active
EQUIPMENT,eq-twn-biz-1,site-tf-studio,TWN - Network - TWF AP,TWF AP,10.19.50.1,,,,active
EQUIPMENT,eq-twn-biz-2,site-tf-studio,TWN - Network - TWF AP,TWF AP,10.19.50.2,,,,active
EQUIPMENT,eq-twn-biz-5,site-tf-studio,TWN - Network - TWF SALES Shared DRIVE,TWF SALES Shared DRIVE,10.19.50.5,,,,active
EQUIPMENT,eq-twn-biz-20,site-tf-studio,TWN - Computer - Traffic- Marketron,Traffic- Marketron,10.19.50.20,,,,active
EQUIPMENT,eq-twn-biz-30,site-tf-studio,TWN - Network - PF SENSE,PF SENSE,10.19.50.30,,,,active
EQUIPMENT,eq-twn-biz-32,site-tf-studio,TWN - Network - Lynksys ?,Lynksys ?,10.19.50.32,,,,active
EQUIPMENT,eq-twn-biz-55,site-tf-studio,TWN - Other - Konika Printer,Konika Printer,10.19.50.55,,,,active
EQUIPMENT,eq-twn-biz-56,site-tf-studio,TWN - Other - Market Manager Printer,Market Manager Printer,10.19.50.56,,,,active
EQUIPMENT,eq-twn-biz-70,site-tf-studio,TWN - Computer - TWF Ubiquti NVR,TWF Ubiquti NVR,10.19.50.70,,,Port: 7443,active
EQUIPMENT,eq-twn-biz-107,site-tf-studio,TWN - Computer - Front Desk,Front Desk,10.19.50.107,,,,active
EQUIPMENT,eq-twn-biz-114,site-tf-studio,TWN - Other - HD Monitor,HD Monitor,10.19.50.114,,,,active
EQUIPMENT,eq-twn-biz-115,site-tf-studio,TWN - Network - Be Sure Router,Be Sure Router,10.19.50.115,,,,active
EQUIPMENT,eq-twn-biz-124,site-tf-studio,TWN - Computer - Matt Workstation,Matt Workstation,10.19.50.124,,,,active
EQUIPMENT,eq-twn-biz-156,site-tf-studio,TWN - Computer - KTPZ Studio,KTPZ Studio,10.19.50.156,,,,active
EQUIPMENT,eq-twn-stu-1,site-tf-studio,TWN - Computer - TWF PROD,TWF PROD,10.19.60.1,,,,active
EQUIPMENT,eq-twn-stu-5,site-tf-studio,TWN - Network - TWF Prod Drive,TWF Prod Drive,10.19.60.5,,,,active
EQUIPMENT,eq-twn-stu-12,site-tf-studio,TWN - Computer - IRG-KWYD-APD (BOOKER PC),IRG-KWYD-APD (BOOKER PC),10.19.60.12,,,,active
EQUIPMENT,eq-twn-stu-20,site-tf-studio,TWN - Computer - IMG-TWF-TRAFFIC,IMG-TWF-TRAFFIC,10.19.60.20,,,,active
EQUIPMENT,eq-twn-stu-30,site-tf-studio,TWN - Network - PF Sense,PF Sense,10.19.60.30,,,,active
EQUIPMENT,eq-twn-stu-35,site-tf-studio,TWN - Other - KEY FOB SYSTEM,KEY FOB SYSTEM,10.19.60.35,,,,active
EQUIPMENT,eq-twn-stu-60,site-tf-studio,TWN - Other - IMG-TWF-XPOINT,IMG-TWF-XPOINT,10.19.60.60,,,,active
EQUIPMENT,eq-twn-stu-61,site-tf-studio,TWN - Computer - KTPZ PlayLIST,KTPZ PlayLIST,10.19.60.61,,,,active
EQUIPMENT,eq-twn-stu-62,site-tf-studio,TWN - Computer - Playlist Editor-Engineering,Playlist Editor-Engineering,10.19.60.62,,,,active
EQUIPMENT,eq-twn-stu-63,site-tf-studio,TWN - Computer - IMG-TWF-KTPZ-PD (Joey),IMG-TWF-KTPZ-PD (Joey),10.19.60.63,,,,active
EQUIPMENT,eq-twn-stu-120,site-tf-studio,TWN - Network - Switch 0,Switch 0,10.19.60.120,,,,active
EQUIPMENT,eq-twn-stu-121,site-tf-studio,TWN - Network - Switch 1,Switch 1,10.19.60.121,,,,active
EQUIPMENT,eq-twn-stu-122,site-tf-studio,TWN - Network - Switch 2,Switch 2,10.19.60.122,,,,active
EQUIPMENT,eq-twn-stu-125,site-tf-studio,TWN - Computer - Importer,Importer,10.19.60.125,,,,active
EQUIPMENT,eq-twn-stu-128,site-tf-studio,TWN - Other - XDS Pro4Q,XDS Pro4Q,10.19.60.128,,,,active
EQUIPMENT,eq-twn-stu-129,site-tf-studio,TWN - Other - XDS Pro,XDS Pro,10.19.60.129,,,,active
EQUIPMENT,eq-twn-stu-130,site-tf-studio,TWN - Other - Sage Endec,Sage Endec,10.19.60.130,,,,active
EQUIPMENT,eq-twn-stu-131,site-tf-studio,TWN - Other - DaySequerra 1,DaySequerra 1,10.19.60.131,,,,active
EQUIPMENT,eq-twn-stu-132,site-tf-studio,TWN - Other - DaySequerra Tuner 2,DaySequerra Tuner 2,10.19.60.132,,,,active
EQUIPMENT,eq-twn-stu-133,site-tf-studio,TWN - Other - Silence Sense,Silence Sense,10.19.60.133,,,,active
EQUIPMENT,eq-twn-stu-134,site-tf-studio,TWN - STL - Harris HD STL,Harris HD STL,10.19.60.134,,,,active
EQUIPMENT,eq-twn-stu-135,site-tf-studio,TWN - Transmitter - 95.1 TX,95.1 TX,10.19.60.135,,,,active
EQUIPMENT,eq-twn-stu-136,site-tf-studio,TWN - Transmitter - 105.1 TX,105.1 TX,10.19.60.136,,,,active
EQUIPMENT,eq-twn-stu-140,site-tf-studio,TWN - Other - Aaron 650,Aaron 650,10.19.60.140,,,,active
EQUIPMENT,eq-twn-stu-155,site-tf-studio,TWN - Computer - Studio1- INT-PC (TWF-KIRQ-INT-PC),Studio1- INT-PC (TWF-KIRQ-INT-PC),10.19.60.155,,,,active
EQUIPMENT,eq-twn-stu-156,site-tf-studio,TWN - Computer - Studio2- INT-PC (TWF-PROD-INT-PC),Studio2- INT-PC (TWF-PROD-INT-PC),10.19.60.156,,,,active
EQUIPMENT,eq-twn-stu-157,site-tf-studio,TWN - Computer - Studio3- INT-PC (KYUN-INT-PC),Studio3- INT-PC (KYUN-INT-PC),10.19.60.157,,,,active
EQUIPMENT,eq-twn-stu-163,site-tf-studio,TWN - Computer - TWF-Ingest-SVR,TWF-Ingest-SVR,10.19.60.163,,,,active
EQUIPMENT,eq-twn-stu-165,site-tf-studio,TWN - Computer - IRG-TWF-Stream Box,IRG-TWF-Stream Box,10.19.60.165,,,,active
EQUIPMENT,eq-twn-stu-166,site-tf-studio,TWN - Other - iRock RDS,iRock RDS,10.19.60.166,,,,active
EQUIPMENT,eq-twn-stu-167,site-tf-studio,TWN - Other - KIRQ RDS,KIRQ RDS,10.19.60.167,,,,active
EQUIPMENT,eq-twn-stu-168,site-tf-studio,TWN - Other - Breeze RDS,Breeze RDS,10.19.60.168,,,,active
EQUIPMENT,eq-twn-stu-170,site-tf-studio,TWN - Computer - WO-TWF-CS,WO-TWF-CS,10.19.60.170,,,,active
EQUIPMENT,eq-twn-stu-171,site-tf-studio,TWN - Computer - WO-KIRQ-FM,WO-KIRQ-FM,10.19.60.171,,,,active
EQUIPMENT,eq-twn-stu-172,site-tf-studio,TWN - Computer - WO-KYUN-FM,WO-KYUN-FM,10.19.60.172,,,,active
EQUIPMENT,eq-twn-stu-173,site-tf-studio,TWN - Computer - WO-KYUN-HD2,WO-KYUN-HD2,10.19.60.173,,,,active
EQUIPMENT,eq-twn-stu-174,site-tf-studio,TWN - Computer - WO-KTPZ-FM,WO-KTPZ-FM,10.19.60.174,,,,active
EQUIPMENT,eq-twn-stu-175,site-tf-studio,TWN,,,,,,active
